Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
dillmann1996,Frankrig og den nordiske fortidde første etaper af genopdagelsen,"Dillmann, F.-X","Roesdahl, Else; Meulengracht Sørensen, Preben",,1996,1996,"The waking of Angantyr: The Scandinavian past in European culture, Å rhus",incollection,,,,,,,13--26,,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Sindbæk 2013 - All in the Same Boat. The Vikings as European and global heritage.pdf,,"Dillmann, F.-X. 1996: Frankrig og den nordiske fortid - de første etaper af genopdagelsen, in Roesdahl, E. & Meulengracht Sørensen, P. (eds): The waking of Angantyr: The Scandinavian past in European culture, Å rhus, 13-26.",sindbaeknd,,
swanton1997,The Anglo-Saxon Chronicles,"Swanton, M.",,,1997,1997,,misc,,Manchester University Press,,,,,,,,,,F2,,,,0.50,"partial (missing: title, url, note)",,Confirmed full author name.,"title, author, title, author, title, author, title, author, +10 more","Raffield 2019 - Playing Vikings Militarism, Hegemonic Masculinities, and Childhood Enculturation in Viking Age Scan.pdf",,"Swanton, Michael, trans. 1997. Beowulf. Manchester: Manchester University Press.",raffield2019,,
gaerte1929,Urgeschichte Ostpreussens,"Gaerte, W.",,,1929,1929,,book,,,,,,,320,,,,,F2,llm_from_footnote,,,0.67,"partial (missing: publisher, location, isbn)",,,,Jagodziński 2014 - Scandinavians and West-Balts Contribution to the Study on the Issue of the Influence of the Scandin.pdf,"W. Gaerte, Urgeschichte Ostpreussens, Königsberg 1929, p. 320; C. Engel, Beiträge zur Gliederung des jüngsten heidnischen Zeitalters in Ostpreussen, ""Acta Universitatis Latviensis Philologorum et Philosophorum Ordinis Series"" I (1931), p. 314; idem, Aus ostpreußischer Vorzeit, Königsberg 1935, p. 60",,jagodzinski2014,,
olausson2001a,Birkas krigare,,"Olausson, Michael",,2001,2001,,book,,,,,,,,Stockholm,,,,F2,,,,0.44,"partial (missing: author, publisher, location, isbn)",,,,Price et al  2019 - Viking Warrior Women Reassessing Birka Chamber Grave Bj. 581.pdf,,"Olausson, M. (ed.). 2001. Birkas krigare. Stockholm: Stockholm University.",price2019,,
draganits2014,The late Nordic Iron Age and Viking Age royal burial site of Borre in Norway: ALS- and GPR-based landscape reconstruction and harbour location at an uplifting coastal area,"Draganits, Erich; Doneus, Michael; Gansum, Terje; Gustavsen, Lars; Nau, Erich; Tonning, Christer; Trinks, Immo; Neubauer, Wolfgang",,,2014,2014,Das kaiserzeitliche Gräberfeld von Halbturn,misc,article,,,Monographien des Römisch-Germanischen Zentralmuseums,122,,277--298,,,,,F1,,,,0.75,"partial (missing: url, note)",,,,Draganits et al  2015 - The Late Nordic Iron Age and Viking Age Royal Burial Site of Borre in Norway ALS-and GPR-based Land.pdf,,,"lund2021, draganits2014",,
thorarinsson1943,Þjórsárdalur og dess förödelse,"Þórarinsson, Sigurdur","Stenberger, Marten",,1943,1943,Forntida Gårdar i Island,incollection,,,,,,,9--52,Copenhagen,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Vésteinsson et al  2014 - Expensive Errors or Rational Choices The Pioneer Fringe in Late Viking Age Iceland.pdf,,"S. ÞóRARINSSON 1943, Þjórsárdalur og dess för- ödelse, in M. STENBERGER (ed) Forntida Gårdar i Island, Copenhagen, pp. 9-52.",vesteinssonnd,,
jorgensen2008,Ovale Spenner i Trøndelag -En Arkeologisk Analyse av Opphav og Betydning,"Jørgensen, B Danske; Stednavne, ;.; Gyldendal","Brink, Stefan ;; Price, N. S.",,2008,2008,"collaboration with N. Price, The Viking World",incollection,,Routledge,"Copenhagen, Denmark",,,,77--82,London and New York,,,,F2,,,,1.00,complete,,,,Arwill-Nordbladh 2012 - Ability and Disability. On Bodily Variations and Bodily Possibilities in Viking Age Myth and Image.pdf,,"Jørgensen, L. 2008. ""Manor, cult and market at Lake Tissø"". In: Brink, S. & Price, N. (eds). The Viking World, 77-82. London and New York: Routledge.","arwillnordbladh2012, cannellnd, fabech2013, heenpettersen2014, hillerdal2010, kalmring2017, jorgensennd, lund2015, +2 more",,
theuws2000,A kind of mirror for men: sword depositions in Late Antique Northern Gaul. Ritual of power,"Theuws, Frans; Alkemade, Monica","Theuws, Frans; Nelson, Janet L",,2000,2000,From Late Antiquity to the Early Middle Ages. The transformation of the Roman world,incollection,,BRILL,,,,,401--476,Leiden,10.1163/9789004477551_015,,,F2,,,crossref,0.92,complete (missing: location),,,,Androshchuk 2010 - The Gift to Men and the Gift to the Gods Weapon Sacrifices and the Circulation of Swords in Viking.pdf,,"F. Theuws/M. Alkemade, A kind of mirror for men: sword depositions in Late Antique Northern Gaul. Ritual of power. In: F. Theuws/J. L. Nelson (eds.), From Late Antiquity to the Early Middle Ages. The transformation of the Roman world (Leiden 2000) 401-476.",androshchuk2010,,
brandnd,A Brief Description of,"Brand, J.; Orkney; Zetland; Pightland-Firth, Caithness William; Brown, Edin-A; Sanmark",,,1883,1883,Journal of the North Atlantic Special,article,,,,,5,,108--108,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Sanmark 2013 - Patterns of Assembly Norse Thing Sites in Shetland.pdf,,"Brand, J. 1883. A Brief Description of Orkney, Zetland, Pightland-Firth, and Caithness. William Brown, Edin- A. Sanmark Journal of the North Atlantic Special Volume 5 108 108",sanmarkndb,,
linaa2015,Crafts in the landscape of the powerless. A combmaker's workshop at Viborg Soendersoe AD 1020-1024,"Linaa, J.","Hansen, Gitte; Ashby, Steven P; Baug, Irene",,2015,2015,"Everyday Products in the Middle Ages: Crafts, consumption and the individual in northern Europe c. AD 800-1600",incollection,,Oxbow Books,,,,,69--90,Oxford,,,,F2,,,,0.92,complete (missing: location),catalogue_candidate,,,Croix et al  2019 - The Réseau Opératoire of Urbanization Craft Collaborations and Organization in an Early Medieval Wo.pdf,,"Linaa, J. 2015. Crafts in the landscape of the powerless. A combmaker's workshop at Viborg Soendersoe AD 1020-1024, in Everyday Products in the Middle Ages: Crafts, consumption and the individual in northern Europe c. AD 800-1600, eds. G. Hansen, S.P. Ashby & I. Baug. Oxford: Oxbow, 69-90.","croix2019, rosvold2019",,
