citekey,title,year,generation,entry_type,first_author,doi,completeness,in_degree,out_degree,is_ghost
dobat2013,Between rescue and research: an evaluation after thirty years of liberal metal detecting in archaeological research and heritage practice in denmark,2013,F1,article,Dobat Andres Siegfried,10.1179/1461957113Y.0000000041,1.0,4,61,False
dobat2014,Füsing: A metal-rich site in the vicinity of Hedeby/Schleswig (AD c. 700-1000),2014,F1,incollection,Dobat Andres Siegfried,,0.917,3,0,False
domeijlundborg2004,Bound animal bodies,2004,F1,incollection,Domeij Lundborg M.,,0.917,5,0,False
domeijlundborg2012,Coming to grips with the beast: A reply to Carrie Roy,2012,F1,article,Domeij Lundborg M.,,0.833,1,15,False
downham2015,Coastal communities and diaspora identities in Viking Age Ireland,2015,F1,incollection,Downham Clare,,0.917,1,58,False
draganits2015,The late Nordic Iron Age and Viking Age royal burial site of Borre in Norway: ALS-and GPR-based landscape reconstruction and harbour location at an uplifting coastal area,2015,F1,article,Draganits Erich,10.1016/j.quaint.2014.04.045,0.917,4,0,False
dugmore2007,A) the role of climate in settlement and landscape change in the north atlantic islands: an assessment of cumulative deviations in high-resolution proxy climate records,2007,F1,article,Dugmore Andrew J.,10.1353/arc.2011.0038,1.0,10,67,False
dugmore2012,"Cultural Adaptation, Compounding Vulnerabilities and Conjunctures in Norse Greenland",2012,F1,article,Dugmore Andrew J.,10.1073/pnas.1115292109,1.0,6,49,False
edberg2019,Död amazon på Birka? -en debatt,2019,F1,article,Edberg Rune,,0.833,1,36,False
englert2015,Large Cargo Ships in Danish Waters 1000-1250. Evidence of specialised merchant seafaring prior to the Hanseatic Period. Ships and Boats of the North 7,2015,F1,book,Englert Anton,,0.889,3,0,False
eriksen2016,Commemorating dwelling: The death and burial of houses in Iron and Viking Age Scandinavia,2016,F1,article,Eriksen Marianne,10.1080/14619571.2016.1186918,1.0,4,65,False
eriksen2017,Don't all mothers love their children? Deposited infants as animate objects in the Scandinavian Iron Age,2017,F1,article,Eriksen Marianne,10.1080/00438243.2017.1340189,1.0,3,88,False
eriksen2019,"Architecture, Society, and Ritual in Viking Age Scandinavia: Doors, Dwellings, and Domestic Space",2019,F1,book,Eriksen Marianne,,0.778,1,0,False
eriksen1994,Kulturelle Veikryss: Essays Om Kreolisering,1994,F1,book,Eriksen Thomas,,0.889,4,0,False
eriksson2018,Gamla Uppsala: Människor och makterna i högarnas skugga,2018,F1,book,Eriksson K. E.,,0.667,1,0,False
fahlander2016,The materiality of the ancient dead: Post-burial practices and ontologies of death in southern Sweden AD 800-1200,2016,F1,article,Fahlander Fredrik,,0.833,3,72,False
fahlander2018,Grave encounters: Ontological aspects of post-burial interaction in the Late Iron Age of central eastern Sweden,2018,F1,article,Fahlander Fredrik,,0.833,1,57,False
fallgren2008,Farm and village in the Viking Age,2008,F1,incollection,Fallgren Jan-Henrik,,1.0,2,46,False
feveile2011,Korsfibler af råhedetypen: en upåagtet fibeltype fra aeldre vikingetid,2011,F1,article,Feveile Claus,10.7146/kuml.v60i60.24526,1.0,3,20,False
feveile2009,"Vikingetidsgravpladsen ved hunderup -15 jordfae stegrave omkring en storstensgrav fra stenalderen. by, marsk og geest 21",2009,F1,incollection,Feveile Claus,10.1484/m.scisam-eb.1.101090,0.917,5,2,False
feveile2017,Ombukkede Knivskedebeslag Af Blik,2017,F1,article,Feveile Claus,10.7146/bmg.v29i1.132497,1.0,1,43,False
fischer2011,New horizons for Helgö,2011,F1,incollection,Fischer S.,,0.833,1,51,False
fontaine2017,Early Medieval Slave-Trading in the Archaeological Record: Comparative Methodologies,2017,F1,article,Brink Stefan ;,,0.833,2,53,False
forster2009,Kleber: The Archaeology of Shetland's Steatite Industry from the Neolithic to the Present Day,2009,F1,book,Forster A. K.,,0.778,4,0,False
fredriksen2014,Når stedsbånd veves og løses opp: en sosial kronologi for bosetningen av kalvebeitet i indre sogn i yngre romertid og folkevandringstid,2014,F1,article,Fredriksen Per Ditlef,,0.778,3,56,False
frei2012,Strontium Isotopes and Human Mobility in Prehistoric Denmark. Archaeological and Anthropological Sciences,2012,F1,article,Frei Karin Margarita,10.1007/s12520-011-0087-7,1.0,6,29,False
frieman2019,"Present pasts in the archaeology of genetics, identity, and migration in europe: a critical essay",2019,F1,article,Frieman Catherine J.,10.1080/00438243.2019.1627907,1.0,2,107,False
