"round","edges_removed","n_components","modularity"
699,699,17,0.145779215116739
700,700,17,0.145788031505274
701,701,17,0.145796848958033
702,702,17,0.145805667475209
703,703,17,0.145814487056992
704,704,17,0.145823307703577
705,705,17,0.145832129415154
706,706,17,0.145840952191917
707,707,17,0.145849776034058
708,708,17,0.145858600941769
709,709,17,0.145867426915245
710,710,17,0.145876253954675
711,711,17,0.145885082060254
712,712,17,0.145893911232174
713,713,17,0.145902741470629
714,714,17,0.14591157277581
715,715,17,0.14592040514791
716,716,17,0.145929238587124
717,717,17,0.145938073093643
718,718,17,0.14594690866766
719,719,17,0.145955745309369
720,720,17,0.145964583018963
721,721,17,0.145973421796634
722,722,17,0.145982261642577
723,723,17,0.145991102556984
724,724,17,0.145999944540048
725,725,17,0.146008787591963
726,726,17,0.146017631712923
727,727,17,0.14602647690312
728,728,17,0.146035323162748
729,729,17,0.146044170492
730,730,17,0.146053018891072
731,731,17,0.146061868360154
732,732,17,0.146070718899443
733,733,17,0.14607957050913
734,734,17,0.14608842318941
735,735,17,0.146097276940478
736,736,17,0.146106131762525
737,737,17,0.146114987655747
738,738,17,0.146123844620337
739,739,17,0.14613270265649
740,740,17,0.1461415617644
741,741,17,0.146150421944259
742,742,17,0.146159283196263
743,743,17,0.146168145520606
744,744,17,0.146177008917482
745,745,17,0.146185873387085
746,746,17,0.14619473892961
747,747,17,0.14620360554525
748,748,17,0.146212473234201
749,749,17,0.146221341996656
750,750,17,0.146230211832811
751,751,17,0.14623908274286
752,752,17,0.146247954726996
753,753,17,0.146256827785416
754,754,17,0.146265701918314
755,755,17,0.146274577125883
756,756,17,0.14628345340832
757,757,17,0.14629233076582
758,758,17,0.146301209198575
759,759,17,0.146310088706783
760,760,17,0.146318969290638
761,761,17,0.146327850950334
762,762,17,0.146336733686067
763,763,17,0.146345617498032
764,764,17,0.146354502386424
765,765,17,0.146363388351438
766,766,17,0.14637227539327
767,767,17,0.146381163512115
768,768,17,0.146390052708168
769,769,17,0.146398942981625
770,770,17,0.14640783433268
771,771,17,0.14641672676153
772,772,17,0.14642562026837
773,773,17,0.146434514853396
774,774,17,0.146443410516802
775,775,17,0.146452307258786
776,776,17,0.146461205079542
777,777,17,0.146470103979266
778,778,17,0.146479003958155
779,779,17,0.146487905016404
780,780,17,0.146496807154209
781,781,17,0.146505710371765
782,782,17,0.14651461466927
783,783,17,0.146523520046919
784,784,17,0.146532426504907
785,785,18,0.209989952677369
786,786,18,0.210002385859756
787,787,18,0.210014820506469
788,788,18,0.210027256617766
789,789,18,0.210039694193902
790,790,18,0.210052133235136
791,791,18,0.210064573741725
792,792,18,0.210077015713925
793,793,18,0.210089459151995
794,794,18,0.210101904056191
795,795,18,0.210114350426771
796,796,18,0.210126798263994
797,797,18,0.210139247568115
798,798,18,0.210151698339394
799,799,18,0.210164150578087
800,800,18,0.210176604284452
801,801,18,0.210189059458748
802,802,18,0.210201516101232
803,803,18,0.210213974212162
804,804,18,0.210226433791796
805,805,18,0.210238894840392
806,806,18,0.210251357358209
807,807,18,0.210263821345504
808,808,18,0.210276286802536
809,809,18,0.210288753729563
810,810,18,0.210301222126843
811,811,18,0.210313691994635
812,812,18,0.210326163333198
813,813,18,0.21033863614279
814,814,18,0.210351110423669
815,815,18,0.210363586176094
816,816,18,0.210376063400325
817,817,18,0.210388542096619
818,818,18,0.210401022265236
819,819,18,0.210413503906434
820,820,18,0.210425987020473
821,821,18,0.210438471607611
822,822,18,0.210450957668109
823,823,18,0.210463445202223
824,824,18,0.210475934210215
825,825,18,0.210488424692343
826,826,18,0.210500916648867
827,827,18,0.210513410080046
828,828,18,0.210525904986139
829,829,18,0.210538401367406
830,830,18,0.210550899224107
831,831,18,0.210563398556501
832,832,18,0.210575899364848
833,833,18,0.210588401649407
834,834,18,0.21060090541044
835,835,18,0.210613410648204
836,836,18,0.210625917362961
837,837,18,0.21063842555497
838,838,18,0.210650935224492
839,839,18,0.210663446371786
840,840,18,0.210675958997113
841,841,18,0.210688473100733
842,842,18,0.210700988682906
843,843,18,0.210713505743893
844,844,18,0.210726024283953
845,845,18,0.210738544303349
846,846,18,0.210751065802339
847,847,18,0.210763588781185
848,848,18,0.210776113240147
849,849,18,0.210788639179487
