"round","from","to"
636,"loftsgarden2019","jorgensen2010"
637,"nielsen2011","sjogren2009"
638,"lund2021","mannering2013"
639,"ahfeldt2015","brogger1917"
640,"sanmark2013","myrberg2008"
641,"andren2000","randsborg1980"
642,"christiansen2019","mikkelsen2008"
643,"keller2016","munch2003"
644,"keller2016","grahamcampbell2001"
645,"keller2016","sawyer1982"
646,"keller2016","pedersen1998"
647,"kershaw2009","mason2007"
648,"fredriksen2014","howardjohnston1993"
649,"jackson2018","ostergard2004"
650,"jackson2018","dugmore2007"
651,"lucas2007","enghoff2003"
652,"keller2016","dennis2000"
653,"keller2016","franklin1996"
654,"frei2015","roesdahl2003"
655,"fabech2013","widgren1998"
656,"sanmark2013","graslund2001"
657,"arneborg2012","hartman2017"
658,"henriksen2017","mcgovern2013"
659,"kristjansdottir2015","abrams2012"
660,"andren2000","zachrisson1994"
661,"nielsen2011","solli2002"
662,"price2010","olsen2003"
663,"milek2012","gardela2008"
664,"dugmore2012","vesteinsson2006"
665,"ashby2015","mahler2007"
666,"svensson2018","latour2005"
667,"hartman2017","mcgovern2007"
668,"hartman2017","einarsson1994"
669,"zoega2017","hreinsson1997"
670,"lucas2007","vesteinsson2007"
671,"sanmark2013","johannesson1956"
672,"nielsen2011","jones2008"
673,"hartman2017","mcgovern2009"
674,"milek2012","karlsson2000"
675,"milek2012","johannesson1974"
676,"dugmore2012","hartman2017"
677,"loftsgarden2019","stormnd"
678,"hartman2017","amorosi1997"
679,"frei2015","dennis1980a"
680,"raffield2019","dennis1980"
681,"dugmore2007","roesdahl2005"
682,"hilberg2014","vesteinsson2000"
683,"rogers2020","thomas2001"
684,"keller2016","edwards2005"
685,"keller2016","hannon2005"
686,"holst2010","christiansen1996"
687,"dugmore2007","arneborg2003"
688,"dugmore2007","roesdahl2001"
689,"dugmore2007","barret2000"
690,"naumann2014","perdikaris1999"
691,"kristjansdottir2015","vesteinsson2002"
692,"arneborg2012","jackson2018"
693,"kristjansdottir2015","vesteinsson2010"
694,"oye2016","oye2004"
695,"krzewinska2018","raghavan2014"
696,"sanmark2013","oye2009"
697,"pilo2020","nedkvitne2014"
698,"dugmore2012","vesteinsson2004"
699,"chenery2014","moberg2005"
700,"zori2013","adams2004"
701,"lucas2007","mcgovern2007"
702,"keller2016","vesteinsson2004"
703,"keller2016","fridriksson1994"
